City,Latitude,Longitude
Marion,32.6318,-87.3172
Maytown,33.5489,-86.9999
McDonald Chapel,33.5189,-86.9385
McIntosh,31.2649,-88.0284
McKenzie,31.5428,-86.7246
McMullen,33.1481,-88.1757
Meadowbrook,33.3932,-86.7041
Megargel,31.3781,-87.4307
Memphis,33.1369,-88.3008
Mentone,34.5663,-85.5842
Meridianville,34.8729,-86.5722
Midfield,33.4552,-86.9226
Midland City,31.3157,-85.4937
Midway,32.0764,-85.5244
Mignon,33.1948,-86.2651
Millbrook,32.5028,-86.3737
Millerville,33.1926,-85.9303
Millport,33.5586,-88.0817
Millry,31.6256,-88.3191
Minor,33.5389,-86.9402
Mobile,30.6783,-88.1162
Monroeville,31.5162,-87.3279
Montevallo,33.1246,-86.8476
Montgomery,32.3473,-86.2666
Moody,33.5986,-86.4963
Moores Mill,34.8491,-86.5222
Mooresville,34.627,-86.8799
Morris,33.7467,-86.8037
Morrison Crossroads,33.4198,-85.4903
Mosses,32.1801,-86.6888
Moulton,34.4843,-87.2831
Moundville,32.9968,-87.6272
Mount Olive,33.6778,-86.8726
Mount Vernon,31.0889,-88.0137
Mountain Brook,33.4871,-86.74
Movico,31.0628,-88.0266
Mulga,33.5534,-86.9735
Munford,33.5259,-85.9554
Muscle Shoals,34.7436,-87.6344
Myrtlewood,32.2521,-87.9492
Nanafalia,32.1114,-87.9957
Nances Creek,33.8588,-85.6733
Napier Field,31.3149,-85.4549
Natural Bridge,34.0904,-87.6014
Nauvoo,33.9873,-87.4876
Nectar,33.9686,-86.6346
Needham,31.987,-88.3366
New Brockton,31.3784,-85.9228
New Hope,34.537,-86.4128
New Market,34.8892,-86.4226
New Site,33.0283,-85.7801
New Union,34.1422,-86.2218
Newbern,32.592,-87.5331
Newton,31.3423,-85.5893
Newville,31.4206,-85.3367
North Courtland,34.6788,-87.3083
North Johns,33.368,-87.1008
Northport,33.2589,-87.5984
Notasulga,32.5569,-85.6695
Oak Grove,33.1928,-86.3036
Oak Hill,31.9216,-87.0852
Oakman,33.7141,-87.389
Odenville,33.6987,-86.4225
Ohatchee,33.7877,-86.028
Oneonta,33.9392,-86.4929
Onycha,31.2246,-86.2785
Opelika,32.6612,-85.3769
Opp,31.2848,-86.257
Orange Beach,30.2941,-87.5851
Orrville,32.3068,-87.2454
Our Town,32.8304,-85.9687
Owens Cross Roads,34.5845,-86.4574
Oxford,33.5967,-85.8687
Ozark,31.4508,-85.6473
Paint Rock,34.6602,-86.3307
Panola,32.9478,-88.2674
Parrish,33.7323,-87.2802
Pelham,33.3114,-86.7573
Pell City,33.5609,-86.2669
Pennington,32.1994,-88.0494
Penton,33.009,-85.4722
Perdido,31.0033,-87.6324
Perdido Beach,30.3554,-87.5036
Peterman,31.5837,-87.2631
Petrey,31.8495,-86.2057
Phenix City,32.4588,-85.0251
